timestamp,dx,dy,dthetaw,dthetaz,time_imu,ax,ay,az,pressure
1753446918895142455,0.41,-0.04,0.9993908270190958,-0.03489949670250097,1753446918859959511,-0.93,0.11,0.17,13.930000305175781
1753446918924967112,0.41,-0.04,0.9993908270190958,-0.03489949670250097,1753446918889919108,-0.94,0.1,0.38,13.930000305175781
1753446918954915792,0.42,-0.04,0.9990482215818578,-0.043619387365336,1753446918920002368,-0.86,0.15,0.36,13.930000305175781
1753446918985189243,0.43,-0.04,0.9961946980917455,-0.08715574274765817,1753446918950233622,-0.95,0.06,0.34,13.930000305175781
1753446919014929833,0.43,-0.04,0.9961946980917455,-0.08715574274765817,1753446918979845445,-0.92,0.03,0.17,13.930000305175781
1753446919045203458,0.44,-0.04,0.9914448613738104,-0.13052619222005157,1753446919010025668,-0.83,0.11,0.18,13.930000305175781
1753446919074959516,0.44,-0.04,0.9914448613738104,-0.13052619222005157,1753446919064921118,-0.96,0.08,0.36,13.930000305175781
1753446919105047736,0.45,-0.04,0.9890158633619168,-0.14780941112961063,1753446919070037575,-0.96,0.08,0.36,13.930000305175781
1753446919135199051,0.45,-0.04,0.9890158633619168,-0.14780941112961063,1753446919124927313,-0.96,0.04,0.4,13.930000305175781
1753446919164808945,0.45,-0.04,0.9890158633619168,-0.14780941112961063,1753446919155137252,-0.9,0.06,0.46,13.930000305175781
1753446919194844185,0.46,-0.04,0.9902680687415704,-0.13917310096006544,1753446919159860966,-0.9,0.06,0.46,13.930000305175781
1753446919224922038,0.46,-0.04,0.9902680687415704,-0.13917310096006544,1753446919190122391,-0.95,0.06,0.17,13.930000305175781
1753446919254828916,0.47,-0.05,0.992546151641322,-0.12186934340514748,1753446919244847896,-0.97,0.12,0.45,13.930000305175781
1753446919284916138,0.48,-0.05,0.9961946980917455,-0.08715574274765817,1753446919274815266,-0.87,0.07,0.25,13.930000305175781
1753446919314767448,0.48,-0.05,0.9961946980917455,-0.08715574274765817,1753446919280253925,-0.87,0.07,0.25,13.930000305175781
